                ,pos_z
         0.63114,     -4.73367e-5
         0.63214,     -4.75645e-5
         0.63314,     -4.77938e-5
         0.63414,     -4.80247e-5
         0.63514,     -4.82474e-5
         0.63614,     -4.84618e-5
         0.63714,     -4.86876e-5
         0.63814,     -4.89249e-5
         0.63914,     -4.91638e-5
         0.64014,     -4.93944e-5
         0.64114,     -4.96266e-5
         0.64214,     -4.98604e-5
         0.64314,      -5.0086e-5
         0.64414,     -5.03033e-5
         0.64514,     -5.05223e-5
         0.64614,     -5.07526e-5
         0.64714,     -5.09846e-5
         0.64814,     -5.12181e-5
         0.64914,     -5.14434e-5
         0.65014,     -5.16703e-5
         0.65114,     -5.18987e-5
         0.65214,      -5.2119e-5
         0.65314,     -5.23408e-5
         0.65414,     -5.25741e-5
         0.65514,     -5.28089e-5
         0.65614,     -5.30355e-5
         0.65714,     -5.32539e-5
         0.65814,      -5.3464e-5
         0.65914,     -5.36757e-5
         0.66014,      -5.3889e-5
         0.66114,     -5.40941e-5
         0.66214,     -5.42909e-5
         0.66314,     -5.44795e-5
         0.66414,     -5.46697e-5
         0.66514,     -5.48615e-5
         0.66614,     -5.50549e-5
         0.66714,       -5.524e-5
         0.66814,     -5.54169e-5
         0.66914,     -5.55856e-5
         0.67014,      -5.5746e-5
         0.67114,     -5.58982e-5
         0.67214,     -5.60519e-5
         0.67314,     -5.62073e-5
         0.67414,     -5.63643e-5
         0.67514,     -5.65228e-5
         0.67614,      -5.6683e-5
         0.67714,     -5.68545e-5
         0.67814,     -5.70277e-5
         0.67914,     -5.71926e-5
         0.68014,     -5.73493e-5
         0.68114,     -5.74977e-5
         0.68214,     -5.76379e-5
         0.68314,     -5.77699e-5
         0.68414,     -5.79034e-5
         0.68514,     -5.80386e-5
         0.68614,     -5.81753e-5
         0.68714,     -5.83136e-5
         0.68814,     -5.84535e-5
         0.68914,     -5.85951e-5
         0.69014,     -5.87382e-5
         0.69114,     -5.88829e-5
         0.69214,     -5.90193e-5
         0.69314,     -5.91475e-5
         0.69414,     -5.92675e-5
         0.69514,     -5.93891e-5
         0.69614,     -5.95024e-5
         0.69714,     -5.96173e-5
         0.69814,     -5.97339e-5
         0.69914,      -5.9852e-5
         0.70014,     -5.99717e-5
         0.70114,     -6.01028e-5
         0.70214,     -6.02355e-5
         0.70314,     -6.03698e-5
         0.70414,     -6.05057e-5
         0.70514,     -6.06432e-5
